,FullName,Winery,WineName,Year,Region,RegionalVariety,VintageRating,VintageRatingCount,WineRating,WineRatingCount,VintagePrice,WinePrice,VintageRatingPriceRatio,WineRatingPriceRatio
3613,Ken Forrester The FMC Chenin Blanc 2016,Ken Forrester,The FMC Chenin Blanc,2016,South African,Chenin Blanc,4.5,362.0,4.4,2770.0,26.85,26.85,0.16759776536312848,0.1638733705772812
3617,Fram Chenin Blanc 2016,Fram,Chenin Blanc,2016,South African,Chenin Blanc,4.0,34.0,4.0,301.0,25.81,25.81,0.15497869043006587,0.15497869043006587
3658,Cederberg Five Generations Chenin Blanc 2018,Cederberg,Five Generations Chenin Blanc,2018,South African,Chenin Blanc,4.4,26.0,4.2,564.0,20.9,20.9,0.21052631578947373,0.20095693779904308
3664,Babylonstoren Chardonnay 2017,Babylonstoren,Chardonnay,2017,South African,Chardonnay,4.3,307.0,4.2,1390.0,21.35,21.35,0.20140515222482436,0.19672131147540986
3672,Newton Johnson Family Vineyards Chardonnay 2017,Newton Johnson,Family Vineyards Chardonnay,2017,South African,Chardonnay,4.3,164.0,4.2,844.0,22.5,22.5,0.1911111111111111,0.18666666666666668
3683,Mullineux Granite Chenin Blanc 2017,Mullineux,Granite Chenin Blanc,2017,South African,Chenin Blanc,4.3,136.0,4.2,418.0,27.25,27.25,0.15779816513761466,0.15412844036697249
3684,Hartenberg The Eleanor 2015,Hartenberg,The Eleanor,2015,South African,Chardonnay,4.3,132.0,4.2,595.0,26.0,26.0,0.16538461538461538,0.16153846153846155
3719,Cederberg Five Generations Chenin Blanc 2017,Cederberg,Five Generations Chenin Blanc,2017,South African,Chenin Blanc,4.3,49.0,4.2,564.0,24.28,24.28,0.1771004942339374,0.17298187808896212
3728,Gabriëlskloof The Landscape Series Elodie 2016,Gabriëlskloof,The Landscape Series Elodie,2016,South African,Chenin Blanc,4.3,33.0,4.0,195.0,25.16,25.16,0.17090620031796502,0.1589825119236884
3757,DeMorgenzon Reserve Chenin Blanc 2016,DeMorgenzon,Reserve Chenin Blanc,2016,South African,Chenin Blanc,4.2,365.0,4.2,1757.0,21.45,21.45,0.1958041958041958,0.1958041958041958
3798,Almenkerk Wine Estate Chardonnay 2016,Almenkerk Wine Estate,Chardonnay,2016,South African,Chardonnay,4.2,120.0,4.2,459.0,23.44,23.44,0.17918088737201365,0.17918088737201365
3804,De Wetshof Bateleur Chardonnay 2016,De Wetshof,Bateleur Chardonnay,2016,South African,Chardonnay,4.2,109.0,4.1,498.0,23.16,23.16,0.18134715025906736,0.17702936096718475
3816,Idiom Viognier 2016,Idiom,Viognier,2016,South African,Viognier,4.2,95.0,4.0,501.0,22.69,22.69,0.18510356985456147,0.1762891141472014
3828,Mulderbosch Chardonnay Barrel Fermented 2009,Mulderbosch,Chardonnay Barrel Fermented,2009,South African,Chardonnay,4.2,81.0,4.2,378.0,21.17,21.17,0.19839395370807747,0.19839395370807747
3842,Jordan Nine Yards Chardonnay 2017,Jordan,Nine Yards Chardonnay,2017,South African,Chardonnay,4.2,74.0,4.4,1630.0,21.45,21.45,0.1958041958041958,0.20512820512820515
3850,Rustenberg Five Soldiers 2017,Rustenberg,Five Soldiers,2017,South African,Chardonnay,4.2,65.0,4.1,662.0,26.66,26.66,0.15753938484621155,0.15378844711177794
3871,DeMorgenzon Reserve Chardonnay 2018,DeMorgenzon,Reserve Chardonnay,2018,South African,Chardonnay,4.2,48.0,4.0,1102.0,20.44,20.44,0.2054794520547945,0.19569471624266144
3881,Savage Never Been Asked To Dance 2017,Savage,Never Been Asked To Dance,2017,South African,Chenin Blanc,4.2,42.0,4.3,63.0,27.99,27.99,0.15005359056806006,0.15362629510539474
3886,Rijk's Reserve Chenin Blanc 2014,Rijk's,Reserve Chenin Blanc,2014,South African,Chenin Blanc,4.2,37.0,4.1,237.0,25.16,25.16,0.16693163751987286,0.1629570747217806
3942,Hamilton Russell Vineyards Chardonnay 2016,Hamilton Russell Vineyards,Chardonnay,2016,South African,Chardonnay,4.1,685.0,4.1,5375.0,27.31,27.31,0.15012815818381545,0.15012815818381545
4002,Beaumont Hope Marguerite 2016,Beaumont,Hope Marguerite,2016,South African,Chenin Blanc,4.1,195.0,4.1,1622.0,22.95,22.95,0.17864923747276687,0.17864923747276687
4006,Groot Constantia Chardonnay 2018,Groot Constantia,Chardonnay,2018,South African,Chardonnay,4.1,189.0,4.1,1407.0,24.32,24.32,0.16858552631578946,0.16858552631578946
4019,Keermont Terrasse 2015,Keermont,Terrasse,2015,South African,Chenin Blanc,4.1,166.0,4.0,782.0,21.95,21.95,0.18678815489749429,0.18223234624145787
4030,Babylonstoren Chardonnay 2018,Babylonstoren,Chardonnay,2018,South African,Chardonnay,4.1,144.0,4.2,1390.0,20.79,20.79,0.1972101972101972,0.20202020202020204
4052,Bouchard Finlayson Missionvale Chardonnay 2015,Bouchard Finlayson,Missionvale Chardonnay,2015,South African,Chardonnay,4.1,123.0,4.0,640.0,22.95,22.95,0.17864923747276687,0.17429193899782136
4104,Hogan Wines Chenin Blanc 2015,Hogan Wines,Chenin Blanc,2015,South African,Chenin Blanc,4.1,80.0,4.1,241.0,26.99,26.99,0.1519081141163394,0.1519081141163394
